17, 229200, 377821, 148621, 
3, 229200, 378780, 149580, 
11, 229200, 373666, 144466, 
20, 229200, 373673, 144473, 
19, 229200, 377862, 148662, 
16, 229200, 376805, 147605, 
6, 229200, 371191, 141991, 
8, 229200, 376792, 147592, 
22, 229200, 375588, 146388, 
21, 229200, 377253, 148053, 
12, 229200, 375869, 146669, 
13, 229200, 373680, 144480, 
2, 229200, 370569, 141369, 
18, 229200, 376815, 147615, 
10, 229200, 375849, 146649, 
7, 229200, 378463, 149263, 
15, 229200, 378605, 149405, 
14, 229200, 376814, 147614, 
5, 229200, 373672, 144472, 
9, 229200, 373622, 144422, 
1, 229200, 370569, 141369, 
4, 229200, 373311, 144111, 
